Symbol
NIFTY 50
BHEL
BHARTIARTL
ICICIBANK
BANKBARODA
NTPC
SBIN
IDEA
EICHERMOT
HDFC
ACC
MARUTI
AXISBANK
AMBUJACEM
AUROPHARMA
TATAPOWER
GAIL
SUNPHARMA
RELIANCE
INFRATEL
POWERGRID
M&M
INFY
ZEEL
TECHM
HDFCBANK
HCLTECH
GRASIM
HINDALCO
TATAMTRDVR
COALINDIA
ULTRACEMCO
TCS
TATASTEEL
BAJAJ-AUTO
ONGC
DRREDDY
ADANIPORTS
LT
YESBANK
INDUSINDBK
BPCL
ASIANPAINT
HEROMOTOCO
CIPLA
KOTAKBANK
TATAMOTORS
HINDUNILVR
WIPRO
LUPIN
BOSCHLTD
ITC
